numero_cta,nivel,tipo_cta,nombre
51022215,4,5,MANO DE OBRA PROPIA-TECNOLOGIA DE I
51022302,4,5,MANO DE OBRA TERCERO-EDIFICIO
51022303,4,5,MANO DE OBRA TERCERO-MAQUINARIA Y E
51022304,4,5,MANO DE OBRA TERCERO-MOBILIARIO Y U
51022305,4,5,MANO DE OBRA TERCERO-TECNOLOGIA DE
51022307,4,5,MATERIALES EDIFICIO
51022308,4,5,MATERIALES MAQUINARIA Y EQUIPO
51022309,4,5,MATERIALES MOBILIARIO Y UTILES
51022310,4,5,MATERIALES TECNOLOGIA DE INFORMACIO
51022312,4,5,MANO DE OBRA PROPIA-EDIFICIO
51022313,4,5,MANO DE OBRA PROPIA-MAQUINARIA Y EQ
51022314,4,5,MANO DE OBRA PROPIA-MOBILIARIO Y UT
51022315,4,5,MANO DE OBRA PROPIA-TECNOLOGIA DE I
51022701,4,5,FABRICACION/EMBALAJE
51022702,4,5,MATERIALES DE LIMPIEZA
51022902,4,5,DEPRECIACION EDIFICACIONES
51022903,4,5,DEPRECIACION MAQUINARIAS Y EQUIPOS
51022904,4,5,DEPRECIACION MOBILIARIOS Y EQUIPOS
51022905,4,5,DEPRECIACION VEHICULOS
51022906,4,5,DEPRECIACION TECNOLOGIA DE INFORMAC
51029501,4,5,GERENCIA DE PRODUCCION
51029502,4,5,SERVICIO CENTRO GENERACION EL.
51029503,4,5,SERVICIO DE MANTENIMIENTO
51029504,4,5,CENTRO DE SACOS
51029505,4,5,SERVICIOS LAVADEROS VEH.
51029506,4,5,SERVICIOS COMBUSTIBLES
51029797,4,5,PAJA DE ARROZ P/HORNOS
51029798,4,5,AMORT.GTOS. PERIODOS MUERTOS
51029799,4,5,GASTOS MISCELANEOS
51990000,3,5,CIERRE (PRODUCCION EN PROCESO)
51990001,4,5,SUB-PRODUCTO ARROZ
51990002,4,5,CIERRE (PRODUCCION PRODUCCION EN PR
52000000,2,5,Costos de Produccion
52010000,3,5,COSTO PRIMO
52010001,4,5,MATERIA PRIMA
52010002,4,5,MATERIAL DE EMPAQUE
52010002-33,5,5,MATERIAL DE EMPAQUE CAFE PILADO Y TRILLADO
52010003,4,5,MANO DE OBRA DIRECTA
52010101,4,5,MATERIA PRIMA
52010102,4,5,MATERIAL DE EMPAQUE
52010102-33,5,5,MATERIAL DE EMPAQUE CAFE PILADO Y TRILLADO
52010201,4,5,RECIBIMIENTO Y MEDIDA DEL CAFE
52010202,4,5,SECADO DEL CAFE (SECADORA Y PA
52010203,4,5,DESCASCARADO CAFE SECO
52010204,4,5,CLASIFICACION CAFE POR PESO Y
52010205,4,5,JORNALES TRILLADA
52010205-30,5,5,JORNALES TRILLADA FACTORIA OCOA
52010205-33,5,5,JORNALES TRILLADA CAFE PILADO Y TRILLADO
52010206,4,5,PREPARACION PARA EMBARQUE
52010206-33,5,5,PREPARACION PARA EMBARQUE CAFE PILADO Y TRILLADO
52010207,4,5,JORNALES OBREROS MOVILES\
52010207-31,5,5,JORNALES OBREROS MOVILES\ CAFE PERGAMINO
52010208,4,5,VACIAR Y ESTIBAR SACOS
52010208-33,5,5,VACIAR Y ESTIBAR SACOS CAFE PILADO Y TRILLADO
52010209,4,5,MANEJO CASCARA DE CAFE
52010209-00,5,5,MANEJO CASCARA DE CAFE GENERAL
52010209-31,5,5,MANEJO CASCARA DE CAFE CAFE PERGAMINO
52010210,4,5,SACOS VACIOS PARA CAFE
52010210-31,5,5,SACOS VACIOS PARA CAFE CAFE PERGAMINO
52020000,3,5,COSTOS INDIRECTOS CAFE
52020017,4,5,DIFERENCIAS COSECHEROS
52020020,4,5,A.R.S.
52020021,4,5,A.F.P.
52020022,4,5,SEGURO FAMILIAR DE SALUD
52020023,4,5,INFOTEP
52020024,4,5,RIESGO DE SALUD
52020501,4,5,SUELDOS Y JORNALES
52020502,4,5,FLETES Y ACARREOS
